Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Desvio Padrão temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Desvio Padrão Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
L,11,2025-05-13 12:01:19/12:17:23,100.0,0.0184126984127001,0.1424690837906568,0.6399999999999864,0.0012698412698413,0.0112868841227424,0.0,39.10954356846473,101.61290322580643,65.23809523809524,2.843863147847771,33.492063492063494,5.923907319614953,NOK
RETANGULO,12,2025-05-13 12:52:50/13:31:14,100.0,0.0022826086956531,0.085252479551392,0.9300000000000068,0.0001630434782603,0.0132019018119226,0.0,43.9390625,100.5464480874317,68.375,2.8525944475104086,33.01086956521739,4.638858360631161,OK
RETANGULO,13,2025-05-14 09:07:32/09:42:11,100.0,-0.0024999999999991,0.0311218802223046,0.0800000000000125,0.0003977272727271,0.0128890117300212,0.0,44.11774891774891,100.57142857142858,68.81818181818181,2.1963369741221643,32.71022727272727,4.309604947694719,OK
RETANGULO,14,2025-05-14 11:37:22/12:03:33,100.0,-0.0466477272727268,0.6268767122310916,2.3499999999999943,0.0022727272727271,0.0134993987360092,1.7045454545454544,64.61018459579886,100.57142857142858,68.55113636363636,9.59629088248677,32.875,5.534953864822568,OK
RETANGULO,15,2025-05-14 13:46:36/13:57:14,100.0,-0.1077319587628856,0.7226809248016485,1.1500000000000057,-0.0022680412371134,0.011592486309313,2.061855670103093,80.4319749216301,101.04166666666669,68.04123711340206,14.495629747856473,36.41237113402062,4.622753006686031,OK
L,16,2025-05-14 15:32:50/15:55:22,200.0,-0.0056862745098025,0.04387644551216,0.1299999999999954,-0.0001960784313725,0.0114883013665806,0.0,100.59408284023668,100.49261083743843,70.19117647058823,3.235840026649081,31.5343137254902,3.7670857429434137,OK
RETANGULO,17,2025-05-15 09:04:56/09:23:13,200.0,-0.0049044585987254,0.0542267063827566,0.2299999999999897,-0.0015286624203821,0.0112184374966423,0.0,83.28350045578851,100.64102564102564,70.38853503184713,2.3849143443433447,33.745222929936304,3.649559963989207,OK
RETANGULO,18,2025-05-15 10:35:33/11:01:15,150.0,-0.255714285714285,2.8044311753508464,2.219999999999999,0.0010714285714285,0.0140587183633085,2.380952380952381,65.90739299610895,100.59880239520956,69.03571428571429,9.565965653708902,33.404761904761905,5.156517990590412,OK
RETANGULO,19,2025-05-15 12:49:44/12:58:13,275.0,0.1374358974358981,0.7240245312221966,4.879999999999996,0.003333333333333,0.0125529182892172,2.564102564102564,101.06758349705304,101.29870129870127,67.16666666666667,15.282973011468156,34.282051282051285,4.906654468704525,OK
QUADRADO,20,2025-05-15 13:51:48/14:07:33,275.0,-0.2161589403973505,1.5431344123470052,1.9199999999999875,0.0024503311258276,0.0103258179606404,2.6490066225165565,107.12253968253968,100.66666666666666,70.55629139072848,11.610705268035703,33.145695364238414,4.027236192052605,OK
RETANGULO,21,2025-05-15 15:20:24/16:17:36,100.0,-0.0533203124999985,0.5748100376215518,1.2299999999999898,0.0006249999999999,0.0122554509680947,1.171875,44.10716783216783,100.3921568627451,67.6015625,6.725823624759465,31.5234375,4.468565315668124,OK
L,22,2025-05-16 07:09:49/07:40:01,200.0,-0.0061842105263151,0.0680172387826837,0.2599999999999909,-0.0008333333333336,0.0115613031189872,0.0,83.55794701986754,100.44052863436124,69.54385964912281,3.1149500271825885,33.916666666666664,4.90231297862364,OK
QUADRADO,23,2025-05-16 09:28:54/09:39:33,200.0,-0.0111320754716971,0.1314847139746099,0.7700000000000102,-0.0004716981132076,0.0112446453264442,0.0,80.34647887323943,100.95238095238096,69.81132075471699,3.383751672604072,34.68867924528302,5.024441608486355,OK
L,24,2025-05-16 10:25:15/10:55:24,200.0,-0.0509051724137917,0.462044721106231,1.9699999999999989,-0.0001293103448277,0.0115275166167372,0.8620689655172413,83.63814262023217,100.43290043290042,69.6853448275862,8.267191237828618,31.85775862068965,4.333652686109199,NOK
RETANGULO,25,2025-05-21 09:42:47/10:03:09,200.0,-0.064011299435028,0.6156779890780837,1.210000000000008,0.0010734463276834,0.0110000116729635,1.1299435028248588,83.0013093289689,100.5681818181818,68.82485875706215,10.643919151079166,32.31073446327684,3.828652151659616,NOK
L,26,2025-05-21 11:38:56/12:09:02,200.0,-0.0336170212765943,0.5876864153491729,2.0900000000000034,0.0013191489361698,0.0118558045630272,1.702127659574468,83.63222591362126,100.42735042735043,68.46808510638297,7.058519323162685,31.34468085106383,5.005586985851145,NOK
QUADRADO,27,2025-05-26 13:04:14/13:17:51,150.0,-0.0603361344537813,0.7433945650033075,2.539999999999992,-0.0015966386554623,0.0123496512870078,3.361344537815126,62.943451652386784,100.84745762711864,67.85714285714286,11.40939674743743,32.865546218487395,5.998480555838948,NOK
